"text","concept","organization","pred_concept","concept_predprob","pred_organization"
"That is why it is essential that we accept new clause 87 in the name of the shadow Secretary of State, because we need an impact assessment of how the Bill will affect businesses.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"Today, as we welcome this transformative legislation, I think of my former students. Their lives will be significantly improved by better wages, stronger workers’ rights and a fairer economy.","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour Party"
"I welcome the Bill, which will drastically limit the exploitative use of fire and rehire.","DETER","Labour Party","DETER","1.0000","Labour Party"
"Just outside my constituency, but affecting many of my constituents directly, more than 500 Oscar Meyer workers are striking against the company’s appalling use of the practice. By creating a new right to claim automatic unfair dismissal if someone is reemployed on varied terms to carry out the same duties, the Bill takes a vital step towards dignifying employees with security and autonomy.","AUTONOMY","Labour Party","AUTONOMY","1.0000","Labour Party"
"Does he agree with me, as a former teacher myself, that removing fire and rehire will give the young people that he used to teach the confidence that when they go into the workplace, they will look at careers and not just jobs?
","JUST","Labour Party","JUST","1.0000","Labour Party"
"I am also pleased to see Government new clause 34 encouraging greater employer compliance and increasing compensation for workers subjected to fire and rehire by raising the maximum period of the protective award from 90 to 180 days.","CREATE","Labour Party","CREATE","1.0000","Labour Party"
"Amendment 329, tabled in my name, seeks to further protect against that harmful practice, ensuring that any clause in an employment contract that allows an employer to change the terms without the employee’s consent would be unenforceable, especially in cases of unfair dismissal related to a refusal to accept changes","RIGHTS","Labour Party","RIGHTS","1.0000","Labour Party"
"That would further help redistribute the power imbalance between employers and employees, which currently allows low wages and poor working conditions to become commonplace.","POWER","Labour Party","POWER","1.0000","Labour Party"
"The Bill also takes crucial steps towards banning exploitative zero-hours contracts, ensuring that all workers have predictable hours and offering security for their day-to-day lives. I am pleased to see amendments extending such protections to agency workers.","RIGHTS","Labour Party","RIGHTS","1.0000","Labour Party"
"It is therefore not just my former pupils but millions across the country who will benefit from the biggest upgrade to rights at work in a generation.","RIGHTS","Labour Party","RIGHTS","1.0000","Labour Party"
"I am proud to support our Labour Government in this historic step towards better quality employment across the country, and I look forward to the full delivery of the plan to make work pay.","","","","1.0000",""
"I am proud to support our Labour Government in this historic step towards better quality employment across the country, and I look forward to the full delivery of the plan to make work pay.","POLIT","Labour Party","","1.0000",""
"I rise to speak in support of new clause 10, which would make carer’s leave a paid right.","RIGHTS","Liberal Democrats","RIGHTS","0.9999","Liberal Democrats"
"We have an opportunity to give carers in employment a fair deal right across the country, while also bolstering our economy.","JUST","Liberal Democrats","JUST","1.0000","Liberal Democrats"
"The Government have an opportunity to build on the Carer’s Leave Act 2023, introduced by my hon. Friend the Member for North East Fife (Wendy Chamberlain), and take the next step in providing working carers with the flexibility they need to juggle work and care.","RELATE","Liberal Democrats","RELATE","1.0000","Liberal Democrats"
"they are clear that having those policies in place to support caring is not only good for the employees, but makes them better employees for the employer. The employers really benefit from having members of staff who support them and are also able to do the best for their families.","RELATE","Liberal Democrats","RELATE","1.0000","Liberal Democrats"
"Backing our Liberal Democrat amendment to make carer’s leave a paid entitlement would be the right thing to do on a human level and would also support the Government’s growth agenda. For a Government on a mission to spend less while also delivering growth and better living standards, this is a no-brainer. We must do everything we can to help those carers who can and want to work to do so.","JUST","Liberal Democrats","JUST","1.0000","Liberal Democrats"
"Currently, the Government have simply indicated that they will review the implementation of carer’s leave and consider whether there is a need to change the current approach. I say to the Government in the strongest possible terms that change is needed and the time is now.","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"Many of them are on low incomes, they are often women, and they cannot afford to use their right to carer’s leave unless it becomes a paid right.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"My Liberal Democrat colleagues and I are also pushing for an amendment to make caring a protected characteristic.","RIGHTS","Liberal Democrats","RIGHTS","1.0000","Liberal Democrats"
"When people apply for jobs, equality monitoring forms do not ask them whether they have unpaid caring responsibilities. There is also no direct requirement for simple, reasonable adjustments for carers in the workplace. I feel that this would make all the difference, encouraging those who might otherwise leave employment to stay, making our economy more resilient and protecting their own families’ finances.","ECONOMIC","Liberal Democrats","ECONOMIC","1.0000","Liberal Democrats"
"It seems clear that paid carer’s leave helps carers and those they care for, and it is good for our economy.","ECONOMIC","Liberal Democrats","ECONOMIC","1.0000","Liberal Democrats"
"I hope the Government can see that with the same clarity and do the right thing in supporting these vital Liberal Democrat amendments.","JUST","Liberal Democrats","JUST","1.0000","Liberal Democrats"
"It is a widespread problem, so it is fantastic that the Bill contains clause 22, which will allow the Minister to bring forward steps to expand the available protections. I would like to know how quickly we can do that, because pregnant women out there need that protection literally today.","ADEQ","Labour Party","ADEQ","1.0000","Labour Party"
"Does she agree that dismissals of pregnant women or new mothers are dramatically under-reported because of the use of non-disclosure agreements in a lot of companies while they are taking action against them?","ADR","Labour Party","ADR","1.0000","Labour Party"
"I could talk about NDAs at some length, but I do not have time to today. They are definitely problematic, and they are definitely concealing the extent of the problems that women suffer when they announce their pregnancies.","ADR","Labour Party","ADR","1.0000","Labour Party"
"The answer is that the term “part-timer” is still a term of abuse in this country. While that is still something that people say fairly regularly within workplaces and popular parlance, we still have a problem, so this legislation should help to improve that.","RELATE","Labour Party","RELATE","1.0000","Labour Party"
"When they talk about “all reasonable steps”, it is only reasonable steps, it is not every single step in the entire history of the universe that anyone could ever dream up or imagine.","COMPL","Labour Party","COMPL","1.0000","Labour Party"
"Does she agree that this amendment is being used by the Conservative party to condone something offensive and despicable, and that they are trying to defend the indefensible?","JUST","Liberal Democrats","JUST","1.0000","Liberal Democrats"
"A lot of those discussing this behave as if employees with unfair dismissal rights were unexploded bombs. All the people I represented did not want to bring tribunal claims, they just wanted to have been treated fairly and reasonably in the first place.","JUST","Labour Party","JUST","1.0000","Labour Party"
"They were typically extremely destressed by their experiences, and for quite a lot of them, their mental health had deteriorated substantially in the course of what they had gone through.","PHYSICAL","Labour Party","PHYSICAL","1.0000","Labour Party"
"I do not think that when people have unfair dismissal rights a little bit sooner, they will all be rushing to employment tribunals the moment that something goes slightly wrong in their workplace. What most people want to do every morning is get up, go to work, do a decent job, get paid for it and go home.","JUST","Labour Party","JUST","1.0000","Labour Party"
"The Government firmly believe that the ability to strike is an important element of industrial relations in the UK. That ability is rightly protected by law, and we understand that an element of disruption is likely with any strike.","RIGHTS","Conservative Party","LEGAL","1.0000","Conservatives"
"However, we also need to maintain a reasonable balance between the ability of workers to strike and the rights of the public, who work hard and expect the essential services that they pay for to be there when they need them.","BALANC","Conservative Party","BALANC","1.0000","Conservatives"
"We must be able to have confidence that when strikes occur, people’s lives and livelihoods are not put at undue risk.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservatives"
"As has become clear from recent industrial action, that is not always the case, so we need a safety net in place to ensure that the public do not become collateral damage.","DETER","Conservative Party","DETER","0.9987","Conservatives"
"As the Government get on with those priorities, we also have a duty to protect access to vital public services which, let us not forget, the public are paying for through taxation.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"Secretary of State, I believe in the fundamental right of a worker to withdraw their labour, whether that happens to be from an employer or against the Government.","RIGHTS","Democratic Unionist Party","RIGHTS","0.9964","Democratic Unionist Party"
"Do the Government really believe that withdrawing the right of a worker to withdraw their labour is what they are about?","RIGHTS","Democratic Unionist Party","RIGHTS","0.9999","Democratic Unionist Party"
"Those prices going up throughout the rest of the world, including here, has also pushed up wage claims. But I do not think we should get into a 1970s spiral, where we end up with higher wage claims and higher wage settlements, with higher wage claims and inflation continuing for ever. That is a cycle we must break.","COMPAR","Conservative Party","COMPAR","1.0000","Conservatives"
"Clearly, if we were to meet all the inflation busting demands of the unions, that would make life harder not only for some but for every single family in this country. That is why we cannot do that.","JUST","Conservative Party","JUST","0.9995","Conservatives"
"The Government are therefore absolutely clear: we want constructive dialogue with the unions, and the public have had enough of the constant, most unwelcome, and frankly dangerous, disruptions to their lives.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservatives"
"Last week, Human Rights Watch warned that

“fundamental and hard-won rights are being systematically dismantled”

in the UK. Is this anti-strike legislation part of the danger that Human Rights Watch is warning about?","JUST","Labour Party","JUST","1.0000","Labour Party"
"The International Labour Organisation itself says—I will cover this shortly in my speech—that it is perfectly proper to have a balance between minimum service levels and people’s right to strike. I support the ILO in saying that, I absolutely agree it is right.","BALANC","Conservative Party","BALANC","1.0000","Conservatives"
"Millions of people who rely on essential transport to get to work or to family commitments now every day have the extra stress of worrying about making alternative, sometimes costly, arrangements because of the forever strikes.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservatives"
"There are those who, at the most terrifying time of their lives—perhaps with a poorly loved one—do not know whether an ambulance will arrive, because the unions have refused to provide a national safety net.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservative Party"
"but it is a fact that when strikes are on and ambulances are unable to find out from their unions whether they will operate, that is an additional concern for members of the public—including Opposition Members’ constituents, whom they seem rather not to care about in this case.","JUST","Conservative Party","JUST","1.0000","Conservative Party"
"Those children are desperately trying to catch up on learning that they missed throughout covid, and again they are unsure about whether they will be able to get to school.","JUST","Conservative Party","JUST","1.0000","Conservative Party"
"There are also the businesses throughout the land whose sales and productivity are suffering. They are terrified that, at a time of high inflation, their livelihoods are at risk along with those of their employees.
","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"That is why we need minimum safety and service levels to keep livelihoods and lives safe. It is frankly irresponsible, and even surprising, for the Opposition to suggest otherwise.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservatives"
"The reality is this: after 12 years of a Tory Government, minimum safety no longer exists in our NHS. ","POLIT","Labour Party","POLIT","0.9999","Labour Party"
"There is not any safety in the NHS as a result of the Tory Government.","POLIT","Labour Party","POLIT","0.9989","Labour Party"
"He seems to be arguing that just because there are times of danger, we ought, by design, to enable a system that prevents unions in the ambulance service from telling the NHS when ambulances will be there and what the minimum service would be. That is the issue that we seek to address today.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservative Party"
"If this is all about safety, why is the word “safety” not used once in the Bill or its explanatory notes?","PHYSICAL","Scottish National Party","PHYSICAL","1.0000","Scottish National Party"
"It is fairly obvious to say that a minimum service level in railways, for example, is about people’s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservatives"
"The Bill will ensure that we protect the ability of workers to take industrial action","RIGHTS","Conservative Party","RIGHTS","0.7840","Conservatives"
"The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person’s right to strike does not infringe on someone else’s right to life and limb.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservatives"
"The reality is that safe agreements are negotiated between the staff and the employers. That happens on the ground, the process and the outcomes protect the NHS, because that is what staff want to do.","BALANC","Labour (Co-op)","RELATE","0.9987","Labour"
"The way that ambulance strike worked was that the NHS was unable to find out in advance from the ambulance unions where and when, nationwide, cover would be provided. It is the NHS that said that, not the Government. As a result, the NHS has not been able to put the appropriate level of cover in place in advance. If by chance we are wrong about that, there is a safety mechanism in the Bill for that.","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"I refer Opposition Members to the voluntary arrangements that were successfully made with the Royal College of Nursing, which did provide a national guarantee. In that case, it would not be necessary to put the measures in place.","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the Government’s legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in education—only in transport. That does not appear in the human rights memorandum that accompanies this Bill.","RIGHTS","Scottish National Party","RIGHTS","1.0000","Scottish National Party"
"What has happened in that disruption is that although the nurses have very sensibly provided a national level of safe service, unfortunately the same has not happened in the ambulance service. That is why this legislation is required in other areas at this time","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"Ultimately, what people in our constituencies need to know, whether or not we know them, is that in those six sectors a minimum service will be provided regardless of the right of people in the sector to hold back their labour on a pay negotiation or for any other reason.","BALANC","Conservative Party","BALANC","1.0000","Conservatives"
"Those regulations will be tailored to each relevant service, taking account of the different risks to public safety or the impacts on daily life and on the economy.","CREATE","Conservative Party","BALANC","0.9985","Conservatives"
"Will he now pass comment on the fact that life-and-limb cover already exists in legislation and that the true purpose of this shameful Bill is simply to erode workers’ rights?","RIGHTS","Scottish National Party","RIGHTS","1.0000","Scottish National Party"
"I simply do not accept that point. Although it is true that life-and-limb measures exist, we have seen through the many months of rail closures and the strikes that took place last week and in December that unfortunately minimum service levels in one case, and actually minimum safety levels in another, have simply not been available.","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"I know that Opposition Members do not want to accept this fundamental point, but their constituents’ lives are being put at risk by the NHS’s inability to put the correct cover in place with sufficient notice.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservative Party"
"I suppose the fundamental point is that we hope very much that, in many cases, we will not need to use the powers conferred by the legislation, but we have seen that that will not always be possible.","ENFORCE","Conservative Party","ENFORCE","1.0000","Conservative Party"
"Can the Secretary of State confirm that this legislation cannot possibly be used to sort out the present winter of discontent? If anything, it will make it far more difficult to secure a resolution of any of the individual strikes, and therefore it is just political posturing.","ADEQ","Labour Party","ADEQ","1.0000","Labour Party"
"During recent strike action by the ambulance service—this has been referred to a couple of times, and I want to read it out because it is written down—the NHS has not been reassured by the relevant union that it can rely on the current system of voluntary local derogation, which I think is what the hon. Member for York Central was talking about earlier. It could not rely on those arrangements to ensure that patient and public services were provided.","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"Last week, and in December, arrangements were being disputed right up to the wire—right up to the last minute—which created uncertainty and left officials with little time to organise contingency measures such as military support. That is the situation that we cannot, in all conscience, allow to continue.","JUST","Conservative Party","JUST","1.0000","Conservative Party"
"Can he accept that he has failed, and it is time to get the trade unionists into the room and to put this legislation in the bin, where it belongs?","ADEQ","Labour Party","ADEQ","1.0000","Labour Party"
"So we clearly cannot continue to rely on voluntary arrangements to ensure the safety of the people we represent. After all, strokes and heart attacks do not respect boundaries such as trust borders.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservatives"
"We have an opportunity to keep people, their families and their jobs safe during periods of disruption, and that is what we intend to do.","JUST","Conservative Party","PHYSICAL","1.0000","Conservatives"
"The Bill and subsequent regulations are designed to enable employers to specify the workers required to meet minimum safety and service levels during strikes within relevant sectors.","BALANC","Conservative Party","PHYSICAL","1.0000","Conservatives"
"Does he not appreciate that thousands of nurses and other workers are leaving the national health service, and thousands of teachers are leaving their profession, because of stress, low pay and underfunding?","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour Party"
"Instead of reaching for the statute book and trying to legally constrain trade unions from their legitimate action, why does the Secretary of State not address the fundamental causes: poverty pay, stress, bad conditions and inadequate service in all parts of the UK?","ECONOMIC","Labour Party","PHYSICAL","1.0000","Independent"
"It is important to say that I agree with him, for once, because we are trying to work constructively—as we should—to bring strikes to a conclusion, but we must not do so at the expense of the lives and livelihoods of our constituents.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservatives"
"It is not the case that the strikes are always perfectly safe for our constituents. That is why we must act.","PHYSICAL","Conservative Party","PHYSICAL","0.9140","Conservatives"
" Unions must take reasonable steps to ensure that members do not participate in strikes if they have been named in a work notice. It is up to unions to ensure public safety and not put lives at risk.","PHYSICAL","Conservative Party","PHYSICAL","0.9996","Conservatives"
"Just as the workplace has evolved and improved since that time, so the trade unions and the laws that govern them have developed too. I hope that, in 2015, no one would argue for the return of the closed shop, the show-of-hands votes in dimly lit car parks or the wildcat walk-outs enforced by a handful of heavies.  That is why the Labour Government repealed not a single piece of union legislation during their 13 years in power. Now it is time for Britain�s unions to take the next step, and the Bill will help to achieve just that.
","COMPAR","Conservative Party","COMPAR","1.0000","Conservative Party"
"The Secretary of State is pretending that the Bill is about democracy rather than being a vindictive attack on working people. If it is really about democracy and opening things up, why is he not lifting the ban on unions balloting online and in the workplace, which would be precisely the way to make a modern democracy work?","AUTONOMY","Green Party","AUTONOMY","1.0000","Green Party"
"Despite what people may have read in some reports, this Bill is not a declaration of war on the trade union movement. It is not an attempt to ban industrial action. It is not an attack on the rights of working people. It will not force strikers to seek police approval for their slogans or their tweets. It is not a reprise of Prime Minister Clement Attlee sending in troops to break up perfectly legal stoppages. It is simply the latest stage in the long journey of modernisation and reform. It will put power in the hands of the mass membership, bring much-needed sunlight to dark corners of the movement, and protect the rights of everyone in this country�those who are union members and those who are not, and those hard-working men and women who are hit hardest by industrial action.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"If this Bill was to be supported by the workers generally, some trade unions would already have given it support. This Bill is opposed by all those unions affiliated to the Labour movement and all those not affiliated to the Labour movement�even the Royal College of Nursing has said no to this Bill. It is a travesty and an intrusion upon the democracy of the workplace�get rid of it!","AUTONOMY","Labour Party","AUTONOMY","1.0000","Labour Party"
"He will know, first, that the British people voted for this Bill at the general election and, secondly, that opinion poll after opinion poll has shown broad support for the measures we are discussing today.","POLIT","Conservative Party","POLIT","1.0000","Conservative Party"
"If this is such a fair and reasonable Bill, why does the right hon. Gentleman�s predecessor, Vince Cable, say that it is both �vindictive� and �unnecessary�?","JUST","Labour and Co-Operative Party","JUST","1.0000","Labour and Co-Operative Party"
"Hon. Members from both sides of this House are, to some extent, insulated from the consequences of strike action. We are lucky enough to have generous travel expenses so that we can hire a car or a taxi when there is a transport strike. We have secure jobs, where we get paid whether we make it into the office or not. Even a Back Bencher is among the top 5% of UK earners, so  we can afford to deal with the childcare costs that might come with a school closure or some disruption. But what about the low-paid restaurant staff who miss a day�s work and a day�s pay because of a stoppage called by a handful of transport workers? What about the self-employed builder who has to turn down a week-long job because a strike by teachers means that his kids cannot go to school? What about the single mother who cannot afford to lose a day�s pay by refusing to cross a picket line? Should she be subjected to abuse and harassment simply for going to work?","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"The Secretary of State talks about women on low pay. Many of these women and men do not have bank accounts, yet he is still trying to get rid of check-off, which makes it easier for people to join trade unions. How is that helping people to defend their own rights?","ACCESS","Labour Party","ACCESS","1.0000","Labour Party"
"I also want to talk about the impact on taxpayers, who have to fund the salaries of public servants, only for those public servants to spend their time on trade union business. Do taxpayers not have a right at least to know what their taxes are being spent on? These are the people who are not represented in current trade union legislation, and by increasing transparency, fairness and democracy, they are the people that this Bill will protect.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"On this issue of consistency, if the trade unions are going to have to pay for the enhanced services of the certification officer, does the Secretary of State believe that Members of Parliament should pay for the costs of our regulator, the Independent Parliamentary Standards Authority?
","COMPAR","Labour Party","COMPAR","1.0000","Labour Party"
"My right hon. Friend is absolutely right. At the heart of this Bill is partnership�partnership between trade unions and employers and other stakeholders. A great example of that can be seen at Toyota in Britain. It has not had one day of industrial action in  20 years, and that is because of the partnership that it rightly has with its trade union","RELATE","Conservative Party","RELATE","1.0000","Conservative Party"
"The Secretary of State is giving the House the impression that London commuters would somehow be protected by his threshold. Is he aware that the recent industrial action on the tube  would have passed those thresholds? He talks about partnership. Is it not the case that it is not the strikes and the ballots that are the problems, but the intransigent Mayor of London who is sitting behind him?","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"Let me move on to thresholds. The whole point of strikes is to cause disruption, but the impact of industrial action on ordinary people�often the very working people whom unions were created to support�is such that it should ever be used only as a last resort. It should be taken only after the explicit backing of a majority of members. That is why this Bill sets a minimum turnout of 50% for industrial action ballots. If 1,000 union members are being asked to participate in a strike, at least 500 of them must vote for the ballot to be valid.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"I will give way in a moment. In addition, strikes in certain public services will need the support of 40% of those eligible to vote. In our hypothetical 1,000-strong union, a successful ballot will require at least 500 votes to be cast with at least 400 of those being in favour.
","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"what this Tory Government are doing is a continuous Tory vendetta against the trade union movement? He should be thoroughly ashamed that he is bringing in this Bill and, just as in 1927, it will be a future Labour Government who will ensure that this rubbish is destroyed and that trade unions are given back their basic freedoms.
","JUST","Labour Party","JUST","1.0000","Labour Party"
"I also wish to highlight the additional requirement for ballots of staff in six key sectors: the health service, the fire service,  border security and nuclear decommissioning�because of the obvious risks to public safety and security�and education and transport. A ballot is required because of the massive disproportionate disruption that stoppages in those areas can cause.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservative Party"
"We will publish the Government�s response and details of the scope of the 40% threshold by the time the Bill is in Committee in the other place. As I have said, these measures will not make strikes illegal or impossible. If union leaders can make a genuine and compelling case to their members, they will have no problem securing the votes required. I believe that the vast majority of industrial action is unfortunate and unnecessary, but it is important that workers are able to go on strike. If union members truly want to do so, I will not stand in their way.
","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"in a general election the electorate do not face a binary choice. Secondly, everyone affected by the result of a general election has the right to vote. When a union votes on industrial action, only its members have the right to vote. Therefore, it is absolutely right that there should be a clear, effective mandate.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"The right hon. Gentleman talks about having a mandate for this Bill. His party was wholly rejected in Scotland, so why does he not enter discussions with the Scottish Government to devolve trade union law to the Scottish Parliament?
","AUTONOMY","Scottish National Party","AUTONOMY","1.0000","Scottish National Party"
" As things stand, that is not always the case. Union leaders can secure a mandate for industrial action and then keep using it for as long as they please. For example, in October 2013 the NASUWT justified a walk-out by citing a mandate acquired in November 2011, almost two years earlier. That is hardly a constructive approach to industrial relations","RELATE","Conservative Party","RELATE","1.0000","Conservative Party"
"Does the right hon. Gentleman not recognise that the reason the Opposition object to the Bill is that when people choose to go on strike they get only a tiny bit of strike pay, not their proper pay? They have responsibilities and families to support, so nobody goes on strike just for the hell of it, they do so because they need to.","COLLECTIVE","Labour Party","COLLECTIVE","1.0000","Conservative Party"
" She is right that strikes should always be a last resort�I think that is the point she is making. If union members wish to take strike action, they will vote for it and meet the proposed thresholds.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"As my hon. Friend said, a two-year-old mandate is unlikely to reflect the latest negotiations and would fail to reflect changes in the workforce. To ensure that any industrial action is based on a current mandate from current members, the Bill provides a four-month validity period after a ballot result is announced.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"Is my right hon. Friend not showing with this legislation, once again, that the Conservative Government are standing  up for people who want to work and against bullies who want to stop them? That is what fundamentally underlies his approach?","JUST","Conservative Party","JUST","1.0000","Conservative Party"
"I thank my hon. Friend for highlighting how the Bill protects the rights of working people across the country when they are affected by strike action that has no proper mandate.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"The Bill provides that voting papers sent to union members and employers will state the details of the trade dispute, exactly what type of industrial action is proposed, and an indication of the time period in which that action will take place. This will ensure that members know exactly what they are voting for or against and allow them to make an informed decision.","AUTONOMY","Conservative Party","AUTONOMY","1.0000","Conservative Party"
"One of the valuable roles performed by unions over the years has been to defend workers from abuse, bullying and harassment at the hands of managers. There is no place for such behaviour in the modern workplace, and I applaud anyone who stands up against it. But bosses are not the only culprits. The independent Carr report contained shocking accounts of appalling bullying and harassment directed at non-strikers by trade union members. There were threats that included details of where workers� children go to school, and abusive text messages warning, �We know where you live.� Photographs of non-strikers were posted online in a bid to shame them. Workers who had failed to support industrial action reported being punished by colleagues who deliberately saddled them with antisocial shift patterns or isolated them in the workplace.

It is not acceptable for managers to harass and abuse trade union members who take lawful industrial action. Nor is it acceptable for strikers to treat those who choose to work in the same way. While such abuses are doubtless the actions of a tiny minority of trade unionists, they should never be allowed to happen without consequences. The Bill makes it clear that such intimidation has no place in the modern workplace.","PHYSICAL","Conservative Party","PHYSICAL","1.0000","Conservative Party"
"Is it not the case that this is just another instance of the Tory party no longer being on the side of people�s rights? There are no more rights. There is no longer a right to social security, legal aid or access to employment tribunals. The Conservative party is becoming much more authoritarian and Labour Members do not like it. It is no longer the party of rights. It used to have a fine tradition of rights, but that is disappearing.","AUTONOMY","Labour Party","AUTONOMY","1.0000","Labour Party"
"My hon. Friend highlights an important point. It reflects the fact that, unfortunately, public sector unions seem to have more leaders who do not want to represent the views of their members and will take strike action without a full and proper mandate.
","POLIT","Conservative Party","POLIT","0.9999","Conservative Party"
"The code of practice on picketing, which is already followed without difficulty by many unions, requires the appointment of a picket supervisor. The Bill will make that a statutory obligation. It does not add any new requirement that is not already in the code. The supervisor must either attend the picket line or be readily contactable by the union and the police and able to attend at short notice, and he or she must wear an armband or other means to identify them in order to ensure that picketing is peaceful and lawful.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"Let me turn to political funds. The introduction of ballot thresholds will help ensure that unions reflect the will of their whole membership and that the views of every member count. Another way we are going to achieve that is through changes to the way in which political funds are managed.
","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"The Secretary of State discounts e-balloting because of potential fraud. How about considering an amendment to the Bill with regards to balloting in the workplace, where there cannot be any fraud whatsoever? It will be democratised and there will be a huge turnout on every occasion, which is surely what the Secretary of State is seeking to implement.","REPLIC","Labour Party","REPLIC","1.0000","Labour Party"
"On political funds, first we will increase transparency on the way in which political funds are spent, helping members to make an informed decision about whether or not they want to contribute. The Bill places a duty on unions to report in greater detail on what annual expenditure over �2,000 is useful, helping members decide whether or not they want to pay into the fund. After all, freedom to choose without having all the facts is no freedom at all.

Secondly, unions will need to obtain the active consent of members to deduct a political levy. At present, members can, in theory, opt out, although many unions do not even tell new members that the political levy exists, let alone about them having to pay for it.
","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
" Is not it a fundamental right that people�s pay packets should not be interfered with, without them knowing exactly where the money and the dues are going? That is what this Bill seeks to achieve","AUTONOMY","Conservative Party","AUTONOMY","1.0000","Conservative Party"
"In fact, in Northern Ireland, members have had an active choice for almost 90 years and their unions are still perfectly able to operate and to organise. The National Union of Rail, Maritime and Transport Workers and the Prison Officers Association still have more than four fifths of their members choosing to opt in. All we are asking is for a simple tick box on the same membership forms in England, Scotland and Wales.","COMPAR","Conservative Party","COMPAR","1.0000","Conservative Party"
" Does the Secretary of State accept that the political fund is not just about putting money into political parties, but about holding the Government of the day to account?
","AUTONOMY","Labour Party","AUTONOMY","1.0000","Labour Party"
" They will still allow the unions to raise the funds, but they will just have to be more open about how they do so and what they do with them.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"That being the case, why does the Secretary of State want to overrule agreements made freely between unions and public sector employees about the appropriate amount of time that should be spent on union duties?","RELATE","Labour Party","RELATE","1.0000","Labour Party"
"Does my right hon. Friend agree that this is a simple matter of transparency? If people want to give money to the Labour party as union members, they should choose to do so. Indeed, if they do not actually choose to do so, the danger is that the unions are arguably guilty of mis-selling, because people do not know what they are buying when they join up for membership of a trade union.
","AUTONOMY","Conservative Party","AUTONOMY","1.0000","Conservative Party"
" This is an issue of transparency. It is about ensuring that when people, rightly, give money to any political party, they know that they are doing so and do it with their eyes wide open.","AUTONOMY","Conservative Party","AUTONOMY","1.0000","Conservative Party"
" These changes are entirely consistent with that. We are saying that if someone is a union member, they should know that some of their money is going towards political purposes. It should be open and transparent. That is not the case in England, Scotland and Wales. It is the case in Northern Ireland. If it works in Northern Ireland, it can work in the rest of the United Kingdom.
","COMPAR","Conservative Party","COMPAR","1.0000","Conservative Party"
"Turning to check-off, as the Minister for the Cabinet Office and Paymaster General has announced, a proposed amendment to the Bill will seek to end the practice by which union subscriptions are processed through payroll in public sector organisations. The so-called check-off system was created in a time before direct debits existed and serves no purpose in the modern workplace. It has already been abolished across Whitehall. The amendment will extend this modernising step to the rest of the taxpayer-funded workforce.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
