"text","concept","right","pred_concept","concept_predprob","pred_right"
"The UK is wages-led: it is wages, not profits, that drive growth in our economy. If profit shares go up, as has been the case for the past four decades, demand actually decreases. A 1% increase in the profit share leads to a 0.13% decrease in demand, which is a loss of �2.21 billion to the economy at today�s levels.","ECONOMIC","WAGES","ECONOMIC","1.0000","WAGES"
"Does he agree with me, as a former teacher myself, that removing fire and rehire will give the young people that he used to teach the confidence that when they go into the workplace, they will look at careers and not just jobs?
","JUST","SECURITY","CREATE","0.9585","SECURITY"
"Does he agree with me that this clause is simply payback for the trade union movement, after its financial support for the Labour party?","POLIT","GENERAL","AUTONOMY","1.0000","GENERAL"
"With the increase in conditions that can be variable over time, the flexible working right will help people.","JUST","STATUS","ECONOMIC","0.9923","STATUS"
"There is little evidence�in fact, there is an overwhelming lack of evidence�that change in this area is needed. The Secretary of State mentioned the Carr review, which was set up in April 2014 and reported in October 2014. It looked at issues of intimidation. Frankly, it was right to do so. However, it found little evidence of intimidation. Nevertheless, on the basis of that report the Government have decided to introduce this legislation.","ADEQ","GENERAL","ADEQ","1.0000","STRIKE"
"Clauses 54 and 55 will increase that cost by giving more time off to public sector union officials at the taxpayer’s expense. That is not right when the Chancellor is asking Ministers to make cuts to their Departments across the board.","JUST","STRIKE","ECONOMIC","1.0000","STRIKE"
"The last thing that the workers want to do is to go on strike, but when they have genuine, reasonable and pressing demands over such essential issues such as job losses, safety problems and pay, and those demands are swept to one side, as they often are, with little or no negotiation, they have no alternative but to take industrial action. To blame and penalise them and not bad management, as the Tory party and its pals in the media automatically do, is a total charade.","RELATE","STRIKE","POLIT","0.9971","STRIKE"
"If the Government are serious about democracy and increasing participation, why are they introducing so many barriers and restrictions while denying trade unions a debate about electronic balloting and secure workplace balloting? If the Government intend to proceed with the Bill, they must bring forward amendments to it.","AUTONOMY","GENERAL","REPLIC","1.0000","GENERAL"
"On picketing, I stood on a picket line in my constituency in 2011. Six careworkers from 10 to 22 years� service faced being sacked by a Conservative council. Under the Bill, they would have had to report to and give their names to the police. As one of them said to me last week, �Jack, we�re not criminals.� As a police officer said to me last week in the west midlands, �Jack, this is not a police state.�","JUST","GENERAL","AUTONOMY","1.0000","GENERAL"
"The Bill also takes crucial steps towards banning exploitative zero-hours contracts, ensuring that all workers have predictable hours and offering security for their day-to-day lives. I am pleased to see amendments extending such protections to agency workers.","RIGHTS","SECURITY","BALANC","1.0000","SECURITY"
"The Bill, the employment tribunal fees and the attack on the Human Rights Act are a combined attack on working people by a Government who have given up the mantle of one nation.","POLIT","GENERAL","JUST","1.0000","GENERAL"
"The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the Government’s legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in education—only in transport.","RIGHTS","STRIKE","BALANC","1.0000","STRIKE"
"They were typically extremely destressed by their experiences, and for quite a lot of them, their mental health had deteriorated substantially in the course of what they had gone through.","PHYSICAL","SECURITY","ADEQ","0.9880","GENERAL"
"This Bill also makes no provision for the compensatory measures the ILO requires alongside such regulations.","RIGHTS","STRIKE","REPLIC","0.9980","STRIKE"
"The Government now seek to clamp down on political opposition and leave workers defenceless against pay cuts and attacks on hard-won terms and conditions.","POLIT","WAGES","POLIT","0.9999","WAGES"
"Despite what the Secretary of State says, it is also clear that this legislation will allow employers to target those they think are part of an awkward squad.","POWER","STRIKE","RIGHTS","0.9792","STRIKE"
"We have an opportunity to give carers in employment a fair deal right across the country, while also bolstering our economy.","JUST","WAGES","RELATE","1.0000","WAGES"
"The Bill will only add greater uncertainty to what can and cannot be done and, in my view, is likely to lead to greater politicisation, not less.","POLIT","GENERAL","ECONOMIC","0.8729","STRIKE"
"The idea of cabals of shop stewards who pursue nakedly party political or political agendas is a myth peddled by the Conservative party.","POLIT","GENERAL","POLIT","1.0000","WAGES"
" It was a Labour party commitment to launch an Employment Rights Bill within 100 days of taking office, and I am proud that we have delivered on that commitment and that we have this Bill here today.","POLIT","GENERAL","POLIT","1.0000","GENERAL"
"Our view is that the Government have no right to interfere in the industrial relations of councils, health boards or devolved Administrations in the United Kingdom. Facility time improves industrial relations. It negates issues that would otherwise go to tribunal. If an employer has good facility time arrangements, disciplinary hearings and grievance hearings, for example, are conducted in a timeous fashion. If facility time is interfered with, those timescales will slip. Facility time is a good thing, it is good for industrial relations and it gets things done.","RELATE","GENERAL","RELATE","1.0000","GENERAL"
"They cannot simultaneously say that this is an horrendous piece of legislation that will stop all strike action while also saying that it will have no effect. The hon. Gentleman should choose one line of argument or the other. Teachers would certainly be subject to the legislation, and their last strike would have been affected by measures such as these.","RIGHTS","STRIKE","BALANC","1.0000","STRIKE"
"the Bill does not say that there are industries in which strikes should not take place, it is an effort to affect  millions of trade unionists and inhibit their right to strike because of a dispute involving a few thousand people at London Underground.","RIGHTS","STRIKE","AUTONOMY","0.7266","STRIKE"
"It is members of trade unions, who are working people, that the Bill seeks to protect.","REPLIC","GENERAL","BALANC","0.9953","STRIKE"
"�Trade unions have been an essential force for social progress, without which a semblance of a decent and humane society is impossible under capitalism.�

The trade union movement in the UK, independent of the Labour party and with the Labour party, is responsible for the fundamental gains of working people, many of which we now take for granted, including the weekend, maternity leave, the national health service and the national minimum wage.","JUST","GENERAL","ECONOMIC","1.0000","GENERAL"
"Does my hon. Friend agree that often it is not trade union members in general who cause these strikes to happen, but a very small, politically motivated number of union organisers, and that is why it is right to have the threshold in the Bill?","POLIT","STRIKE","POLIT","0.9879","STRIKE"
"What it shows is that it is necessary to make sure that relations between workers who need support and the trade unions do not become part of a proxy political battle.","POLIT","GENERAL","ADEQ","0.7998","GENERAL"
"It is reform that we should be talking about today—reform that can lead to better public service delivery, changes to our laws—","RIGHTS","STRIKE","ECONOMIC","1.0000","GENERAL"
"That would further help redistribute the power imbalance between employers and employees, which currently allows low wages and poor working conditions to become commonplace.","POWER","SECURITY","RELATE","1.0000","EQUAL"
"Can the Secretary of State confirm that this legislation cannot possibly be used to sort out the present winter of discontent? If anything, it will make it far more difficult to secure a resolution of any of the individual strikes, and therefore it is just political posturing.","ADEQ","STRIKE","POLIT","1.0000","GENERAL"
"I understand why trade unionism was right, and my father and his father understood it as well�it is because people used to get killed down the pits on a daily basis until the unions came in and fought for members. This Bill undermines that.","COLLECTIVE","GENERAL","AUTONOMY","0.9999","STRIKE"
"Clause 10 will make the act of political donation one of free will, and I see no reason other than self-interest why it should not be supported.","POLIT","GENERAL","POLIT","1.0000","GENERAL"
" The House should not take my word for it or the word of those who have spoken today. Let us listen to the independent Regulatory Policy Committee, which described the Bill as not fit for purpose, to Amnesty, Liberty and the British Institute of Human Rights, which described it as a major attack on civil liberties, and to the Chartered Institute for Personnel and Development, which said:

�We need to see more consultation and�engagement with, the workforce, rather than the introduction of mechanisms that reflect the industrial relations challenges of the 1980s.�","AUTONOMY","GENERAL","REPLIC","1.0000","GENERAL"
"I asked a question about reducing the stigma of bankruptcy. Are the measures seen as a way of doing that,","RELATE","GENERAL","RELATE","0.9667","GENERAL"
"Instead of the illegal blacklisting previously done by some companies, employers now can name workers they want to break a strike, and sack those workers if they stay true to their beliefs.","POWER","STRIKE","RIGHTS","1.0000","SECURITY"
"There is nothing wrong with facility time�the Bill is clear about that�but it should be open and transparent, and the current rules do not ensure that.
","RIGHTS","GENERAL","RIGHTS","1.0000","GENERAL"
"Given the serious questions about its effect on fundamental rights, the Bill may be open to legal challenge on a number of fronts, including its impact on the devolution settlements, because it covers areas such as health and education that are clearly devolved. The Welsh Government, who have a substantially better record of working constructively with trade unions than this Administration, have objected to the proposals in strong terms, and are considering whether a legislative consent motion might be appropriate.","LEGAL","GENERAL","LEGAL","1.0000","GENERAL"
"I welcome the enhancement of the role of the certification officer, and it is again a common-sense reform for officers to be able to act on information or concerns they have received from a third party. In addition, I welcome the fact that they have specific investigatory powers to regulate trade unions in order to make this legislation workable.","REPLIC","GENERAL","REPLIC","1.0000","GENERAL"
"However, we recognise that there are cases where unions and employers, working together, may want to agree more tailored rights than the provisions allow, which would benefit both the workers and the employer given the unique context of that particular sector. Unions, businesses and trade associations have made a case for that flexibility in their meetings with us. We want to allow for that, while also providing a baseline for sectors where unionisation is uncommon or agreement cannot be reached. New clause 33 and associated amendments will allow employers and unions to collectively agree to modify or opt out of the zero-hours contract measures.","BALANC","STATUS","BALANC","1.0000","STATUS"
"I therefore welcome the measures in the Bill to provide more clarity and democracy. The Bill will improve trade union practices and increase transparency. I particularly commend three measures: first, time-limited mandates, which will improve clarity and democratic legitimacy, secondly, the requirement for a clear description of the planned industrial action, which is fair and reasonable, and thirdly, the proposal for a new, transparent opt-in system for political subscriptions, which is welcome.","AUTONOMY","STRIKE","REPLIC","1.0000","GENERAL"
" Let me be clear: the withdrawal of labour is a fundamental right, but it is a right that must be tempered with responsibility.","RIGHTS","STRIKE","BALANC","0.9857","STRIKE"
"It is right that there is a second test, particularly in the more essential public services. Disproportionate disruption can be caused to people who have no say in the calling of that strike. It is important that we ensure that the rights of those who use the service�the public�are taken into account just as much as those who are calling the strike, particularly given the recent tube strikes.","BALANC","STRIKE","BALANC","1.0000","STRIKE"
"Countries such as Australia and Canada have the ability to ban outright those strikes that would endanger lives, such as in some blue-light services.","COMPAR","STRIKE","COMPAR","1.0000","STRIKE"
